KSTRANA,VSTRANA,NAZEVCELK,NAZEV_STRK,ZKRATKAK30,ZKRATKAK8,POCSTRVKO,SLOZENI,STAVREG,PLAT_STR,SLOZNEPLAT,POCMANDCR,NAZEVPLNY
1,1706,"""Rebelové web: re3elove.cz program-hash: 3wtBw2bAJ621vWSxxgJHFG….""","""Rebelové web: re3elove.cz""","""Rebelové web: re3elove.cz""","Rebelové",1,"1706","00022202222220","A","",0,"""Rebelové web: re3elove.cz program-hash: 3wtBw2bAJ621vWSxxgJHFG 1. Do roka dostupné bydlení pro všechny! 2. Snížení Plateb za elektřinu o 25% 3. Snížení DPH na 20% a 10% 4. Průhledné VYÚČTOVÁNÍ VAŠICH DANÍ 5. Konec podvodů s cenami v supermarketech 6. Snížíme počet lidí v exekuci o 50% 7. Zrušení poplatku za TV a rádio 8. Konečně spravedlivé důchody 9. Úředník je váš zaměstnanec 10. Reforma vězeňství aneb práce šlechtí 11. Radikální reforma zastaralého školství 12. Razantní snížení drogové kriminality 13. Odměňování politiků podle výsledků 14. Obecné referendum jako pojistka demokracie 15. Účast ve finále MS ve fotbale do roku 2050"""
2,1190,"Moravské zemské hnutí","Moravské zemské hnutí","Moravské zemské hnutí","MZH",1,"1190","22222222220000","A","",0,"Moravské zemské hnutí"
3,1282,"Jasný Signál Nezávislých","Jasný Signál Nezávislých","Jasný Signál Nezávislých","JaSaN",1,"1282","00000000000000","A","",0,"Jasný Signál Nezávislých"
4,1704,"VÝZVA 2025","VÝZVA 2025","VÝZVA 2025","VÝZVA",1,"1704","00000000000000","A","",0,"VÝZVA 2025"
5,1061,"SMS – Stát Má Sloužit","SMS – Stát Má Sloužit","SMS – Stát Má Sloužit","SMSka",1,"1061","00000000000000","A","",0,"SMS – Stát Má Sloužit"
6,1114,"Svoboda a přímá demokracie (SPD)","Svoboda a přímá demokracie (SPD)","Svoboda a př. demokracie (SPD)","SPD",1,"1114","00000000000000","A","",15,"Svoboda a přímá demokracie (SPD)"
7,759,"ČSSD – Česká suverenita sociální demokracie","ČSSD – Česká suverenita sociální demokracie","Česká suverenita soc. dem.","ČSSD",1,"759","00000000000000","A","",0,"ČSSD – Česká suverenita sociální demokracie"
8,1245,"PŘÍSAHA občanské hnutí","PŘÍSAHA občanské hnutí","PŘÍSAHA občanské hnutí","PŘÍSAHA",1,"1245","00000000000000","A","",0,"PŘÍSAHA občanské hnutí"
9,74,"Levice","Levice","Levice","Levice",1,"074","00000000000000","A","",0,"Levice"
10,1283,"Česká republika na 1. místě!","Česká republika na 1. místě!","Česká republika na 1. místě!","ČR1",1,"1283","00000000000000","A","",0,"Česká republika na 1. místě!"
